Text length, Execution Time
321.0,2.552039623260498Milliseconds
362.0,3.0928516387939453Milliseconds
395.0,3.5018110275268555Milliseconds
405.0,3.356494903564453Milliseconds
495.0,4.395155906677246Milliseconds
515.0,4.245574474334717Milliseconds
630.0,5.207774639129639Milliseconds
705.0,5.741565227508545Milliseconds
715.0,6.251220703125Milliseconds
722.0,6.588890552520752Milliseconds
750.0,6.8050408363342285Milliseconds
762.0,6.696813106536865Milliseconds
766.0,7.158868312835693Milliseconds
774.0,6.879427433013916Milliseconds
774.0,6.907782554626465Milliseconds
788.0,6.870758533477783Milliseconds
788.0,7.257370948791504Milliseconds
790.0,6.987416744232178Milliseconds
809.0,7.839806079864502Milliseconds
853.0,7.594664096832275Milliseconds
857.0,6.736326217651367Milliseconds
865.0,7.751169204711914Milliseconds
871.0,8.009974956512451Milliseconds
880.0,8.096323013305664Milliseconds
888.0,8.128008842468262Milliseconds
911.0,8.590707778930664Milliseconds
926.0,8.013546466827393Milliseconds
966.0,8.562121391296387Milliseconds
977.0,8.523592948913574Milliseconds
997.0,8.706989288330078Milliseconds
1005.0,9.093601703643799Milliseconds
1015.0,9.895679950714111Milliseconds
1027.0,9.805090427398682Milliseconds
1103.0,10.453710556030273Milliseconds
1109.0,10.142807960510254Milliseconds
1127.0,10.09091854095459Milliseconds
1146.0,10.264885425567627Milliseconds
1204.0,11.461913585662842Milliseconds
1228.0,11.2483549118042Milliseconds
1241.0,13.063466548919678Milliseconds
1249.0,11.29925012588501Milliseconds
1256.0,11.176648139953613Milliseconds
1305.0,11.938905715942383Milliseconds
1312.0,13.214013576507568Milliseconds
1321.0,11.605498790740967Milliseconds
1334.0,11.988327503204346Milliseconds
1347.0,13.242552280426025Milliseconds
1358.0,13.323225975036621Milliseconds
1366.0,12.605600357055664Milliseconds
1429.0,13.631446361541748Milliseconds
1449.0,13.27155590057373Milliseconds
1466.0,13.695573806762695Milliseconds
1484.0,13.031148910522461Milliseconds
1493.0,14.015281200408936Milliseconds
1496.0,14.600989818572998Milliseconds
1510.0,15.610251426696777Milliseconds
1537.0,13.928453922271729Milliseconds
1539.0,14.12731647491455Milliseconds
1593.0,14.367170333862305Milliseconds
1637.0,15.820424556732178Milliseconds
1641.0,15.744926929473877Milliseconds
1646.0,18.02396059036255Milliseconds
1651.0,15.925002098083496Milliseconds
1686.0,16.379549503326416Milliseconds
1702.0,16.573069095611572Milliseconds
1741.0,15.999922752380371Milliseconds
1788.0,16.935184001922607Milliseconds
1797.0,17.13128089904785Milliseconds
1803.0,17.575643062591553Milliseconds
1870.0,19.050493240356445Milliseconds
1872.0,17.15890645980835Milliseconds
1915.0,18.904221057891846Milliseconds
1916.0,18.219575881958008Milliseconds
1935.0,17.260446548461914Milliseconds
1946.0,18.358118534088135Milliseconds
1953.0,19.763202667236328Milliseconds
1978.0,19.337186813354492Milliseconds
2069.0,20.309720039367676Milliseconds
2110.0,21.204686164855957Milliseconds
2127.0,20.726382732391357Milliseconds
2132.0,22.568533420562744Milliseconds
2333.0,21.87445878982544Milliseconds
2467.0,24.643044471740723Milliseconds
2667.0,26.38610601425171Milliseconds
2719.0,26.99185848236084Milliseconds
2927.0,27.536160945892334Milliseconds
2941.0,29.76667881011963Milliseconds
2965.0,29.207031726837158Milliseconds
3133.0,31.487128734588623Milliseconds
3201.0,31.662044525146484Milliseconds
3242.0,31.640472412109375Milliseconds
3255.0,28.615243434906006Milliseconds
3513.0,32.17874765396118Milliseconds
3734.0,38.28020095825195Milliseconds
3877.0,36.45258188247681Milliseconds
4438.0,42.60993480682373Milliseconds
4944.0,50.17246961593628Milliseconds
5302.0,51.8343710899353Milliseconds
5477.0,54.797539710998535Milliseconds
5620.0,58.76960754394531Milliseconds
